Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
551735,000001D0,false,Rx,0,8,5F,FF,6E,D2,EF,53,CD,9B,
551764,0000019E,false,Rx,1,8,00,E8,AF,FC,FF,BC,FF,F1,
553269,000000AA,false,Rx,0,8,67,0A,02,00,20,0C,84,00,
555300,00000482,false,Rx,1,8,12,42,FE,01,FF,FF,FF,FF,
559303,000000A8,false,Rx,0,8,6A,EB,01,D0,01,F1,0F,02,
561246,000000A9,false,Rx,0,8,7C,1B,D7,CF,3D,D7,EF,0B,
561332,000001A0,false,Rx,1,8,00,80,00,00,80,00,D8,7B,
561816,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
561944,000001EE,false,Rx,1,2,00,FF,00,00,00,00,00,00,
562113,000002A6,false,Rx,1,2,00,FF,00,00,00,00,00,00,
562285,000001D6,false,Rx,1,2,FF,FF,00,00,00,00,00,00,
563263,000000AA,false,Rx,0,8,54,EB,01,00,2C,0C,84,00,
569298,000000A8,false,Rx,0,8,5B,DC,01,D0,01,F1,0F,02,
571270,000000B6,false,Rx,1,5,0D,0D,80,00,C8,00,00,00,
571305,000000A9,false,Rx,0,8,7D,1C,D7,CF,3D,D7,EF,0B,
571524,0000019E,false,Rx,1,8,00,E8,AF,FC,FF,BC,FF,F1,
573261,000000AA,false,Rx,0,8,55,EC,01,00,2C,0C,84,00,
573306,000001B4,false,Rx,1,8,00,D0,E6,FE,0F,FF,82,FD,
